,0,filename
10,"Hi, I got some last news, I am sooooooo happy, but I can't tell you how glad I was. I was having trouble with a friend I love for a long time. Then I heard that the room was very happy. I said okay, everyone who is close to hitting the bottom is happy somehow, I heard him and I am happy. Then I went to Yunus Emre Kultrü center with a friend (which I met for the first time) and met the neyzen in OR. But there was one crazy chello player. The man is in love with the charisma and intrigue you know. I listened to him for a long time. He is so sincere and warm that I do not tell. Next to him was brother Ali, the room was accompanying him with Udi oud. They make a good couple. By the way, when the notes were too high, brother Ali went so far that Uda went to the bottom fret of the bottom wire and then stopped suddenly, he said, `` Where did this kid go? ''
This reaction from a 60-year-old man made me laugh. Then the cello player started hitting the strings with his fingers and took the cello to his knee. It started like a saz, I had a lot of fun playing, I hope I will join them after Eid.
Anyway, it was enough for me to smile, it was hard to smile.

have a nice day bilok",108.txt
11,"I am joyful this morning, a wonderful day, I want it not, a drop of sorrow, Solve your heart, dissolve in freedom, Good morning flowers, good morning roses ... Life is too short, not worth worrying, Heart without love, never rejoice, Let love come, love will not be erased, Good morning centuries, good morning days ... Smile, look to yourself in the mirror, Add the loves, to the fluttering crazy heart, Take a oh, wave to the blue sky, Good morning clouds, good morning birds ... May the sun rise with you, the moonlight is with you, The stars dance, one with only one sign, The universe of love to yourself, with your beautiful words, Good morning hearts, good morning love ... This morning I am joyful, a wonderful day, I want it not, a drop of sadness, Solve your heart, dissolve your freedom, Good morning flowers, good morning roses ... Life is very is short, not worth sadness, heart without love, never rejoice, let love come, love will not be erased, good morning centuries, good morning days ... smile, look to yourself in the mirror, add love, to the fluttering crazy heart, take a oh and wave blue to the sky, Good morning clouds, good morning birds ... Let the sun rise with you, the moon will dance with you, the stars dance, with a single sign, Love the universe to yourself, with your beautiful words, Good morning hearts, good morning loves ... WISH YOU TO SPEND A BEAUTIFUL SUNDAY.",109.txt
12,"Yesterday, I wrote a post with what we did before piloy day and I was very happy that the post was formed as we approach piloy day. Now I see that it is a greater happiness to live the day of piloy, but I can not ignore the sadness of the farewell.
-
The music I am listening to as of now is echoing very comfortably on the walls of the room. Yesterday, nothing could be understood from the voice of the nation. Piloy Many people from the founding director of our school to our advisor who was appointed to Rize attended our day. 06 11 As Science-A, we enjoyed piloy day at 15:00 as the first ones to go to school. We had the chance to chat with many people from the lower and upper periods.
-
I was delighted to see the face of a friend whose contact has been getting weaker for 1.5 years due to reasons. After the chats and chapters, we were in our conference room with a video consisting of photos that would make the old days remember. It was proud that many of the photos in the video were taken by Turgut Reis's crew, that is, us. I think it is well known by everyone that we are a photo freak {I am waiting for a comment from Ünalım here :)}.

Here is a photo from that video at the top .. Photos of Murat and Enes taken by me in High School-1 :) .. These scenes touched us all. Getting together with the rice day may make you happy, it is a great relief, but it is a clear fact that these scenes make people very sad.

-
With this video, the school leg of our program is over, even though we could not join the after-school part with a few friends as a result of a miscommunication while moving on to another stage, thanks.

Sefa., Melih and Halid showed our mutual love and affection and joined the program at our home. We recalled the old days and talked about new environments with a pleasant chat until 2 of the night. We did an ice cream tour in the neighborhood :) .. I said goodbye to Sefa and Halid at 2 am and to Murat, Muhammed, Enes and Melih this morning. for what I said. But this article really made me feel those beauties a little bit more, the beauties that are exceptional enough to be able to print an article of this length to me without hesitation .. The pride of meeting such friends and the happiness of being able to experience such beauties took the place of my boredom .. Thank you all, see you ..",11.txt
13,"I opened the summer season at the end :)

Today we went to the aqua park with Evrim, it was a lot of fun. We swam all day, slid from water slides, sunbathed hand in hand. Finally, we both came home crimson like a lobster. then we had dinner as a family.

I just had the first watermelon of the year in my stomach: D I am very happy now :) actually I am afraid when I write that I am openly happy. In case there will be something bad that will touch the evil eye ...

nowadays nothing seems to affect me. Days and nights have flowed like water since evolution came alive. months later, I can sleep soundly again at night. I hope our life continues in such a peaceful and happy way.",110.txt
14,"Our school is a really bad school in terms of student profile. The children are so independent, so stubborn, so insightful, so combative, so much that I can't tell (some good students should not be included in this group). Although I am a 2nd grade teacher, I come across these vagrants during my school shifts, while spending time in the garden, when the school enters and exits. I usually see them while being a beast, or someone comes near me, my teacher, who was born, treated me like this, he is troubled because he did this to me. Because both my size, my tone of voice, and my harsh attitude at school cause the oppressed students to worry me. Anyway? In our school there are 5-10 types of direct drop-outs (150 people in our school, etc.). The dress they come to school does not pass next to the school uniforms, the hair begins to be a weird, the movements are that way, when the teacher says something, they stand up and so on and so forth.

I showed my teeth to 2-3 of them in good time and I started to ignore them. They make an event every minute, disturb their friends, have their teachers drawn illallah ?? At a meeting we held yesterday at the school about such a type, we, as all teachers, faced trouble with our principal; Because the student harms both the teachers, the school, the students and himself. Our manager said he would take care of the issue and ended the meeting so there were 1-2 more students left in me ??

So, today I had a relationship with one of the students that I remembered. Our last lesson was body and we were in the garden. The 7th grade class was empty and they were wandering in the garden and playing. Do you want to run around in school to play hide-and-seek, to talk abusive? Anyway, I warned them, I looked at my lesson. The end of the lesson bell rang and the students started to go out. We were waiting in the garden for the school to be evacuated because we were going to study. Meanwhile, a student came running to me and ""Doğan Hodja, Melik hits us with a chain."" said. I turned and looked back, Melik is there and he has a chain in his hand.

D: Son put the chain in your pocket go home.
M: Neee, sananeeee!
D: Son, take that chain, go home, leave your friends alone.
(Hands and arms swinging in the air)
M: Sanane sanane, do I ask you?
D: Son what's wrong with you? What do you want?
(With hands and arms in the air and staring at the face)
M: Go, am I going to ask you !?

After passing a conversation, I said give it chain and did not. I also took it by pulling it from his hand. Then ?? Get out of your house now! ?? I gave way, saying. His friends took this by my side and started to move forward. He had taken 1-2 steps when he turned his head halfway towards me, hinting at me, with a dirty grin, he literally gave me a fuck-stick tongue. When I saw this, I could not stand it anymore and I took it to the manager room as I held it by the neck. I started shouting at this and starting to hear provocative, sarcastic facial expressions and words at every shout. I've been guilty, I've been a bum! Actually I was going to let go and give way; But I continued my behavior just because he would rub his nose a little, maybe it would come a little on his head; but I was faced with a worse reaction than my behavior, and you see me? , ?? I'll get you kicked out of school! ?? When I started making threats like this, I got more aggressive now. I kept shouting loudly and shook 1-2 swearing at the same time, so that he could understand the seriousness of the work; but I saw worse reaction from him. I feel like ?? Yuh! ?? I held it by pulling the back of the neck ?? I threw him out of the room.

At that time, the Director took it and started talking. Still the boy was standing up and lying. No, he did nothing, no I beat him, swore! He was an angel! Entering my class, I canceled the study because I was angry and sent the children home. The principal was talking to his room where he took Melik, so I entered. He was still blaming me and saying that I cursed him or something. I was the only criminal who didn't do anything of his own.

While I was warning him in the garden, our Servant Nizamettin was with me and although he told Melik like that, he was still trying to get on top. No, he beat me, no he cursed me! I said, too, if I beat you, you wouldn't be able to stand up again when I didn't. Meanwhile, wouldn't he say to me too ?? The main thing is that if I beat you, you wouldn't be able to stand up! I said with a laugh, everyone's nervous now and our manager raised his tone; but he still continued to stand up to me and my manager. My manager could not stand it anymore and he said go to me, Dogan Hodja, and I pulled back and came to my house.

I have been so angry for two days because of the strange students in this school that I cannot tell. They stand up to us, they walk on us back and forth, they raise their arms when we say something, they don't listen to the word ??

I can't understand what we're going to do. Beating is forbidden in education, I don't know what it is, it is forbidden, this is forbidden. Try to win children try to win I didn't understand how far. Even if we try to talk nicely, I do not know how long our business will continue with the children who stand up against us, stand up and threaten us.

Maybe for the first time in my life I was so angry. Though, when I was yelling at the kid at first, I was just pretending to be angry to intimidate it; But after he threatened me and started swinging beside the principal, I really got on my nerves.

I take care of his brother in one class, and Melik ?? e. It is impossible not to call this diet, this salad pickle. They did not say for nothing that 5 fingers are not one in five.

One more day like this has come and gone. Let's see what kind of abominations we will have with these self-aware students tomorrow?",111.txt
15,"Okay, alcohol is fine but I get annoyed that that beer junk sends me to the toilet frequently. afakan is pressing. I realize it's not a very interesting thing, but there was something very hot talking tonight. I was going to the toilet without being able to hold it. What was I missing when I returned?

You go one, you go two, it is bad when you go over two. it's worse to get into mcdonalds and go back to the toilet while the buses are running. But it's okay to go to the bathroom after everyone's gone. it relaxes.

angry: angry man time.",112.txt
16,"I get annoyed dealing with things I can't do.

I've been browsing through those blog-fraternity-promotion stuffed sites on the internet. quality blogs have never dealt with free money like us, they printed the money anyway. I looked everyone has their own look. There are also those who do the design shit. I said I'll use if there are other ready-made templates for that blogger. I liked the picture above, but it says download or something. I said bro, if I clicked somewhere, hopefully, my site is opened in its new form, but unfortunately. We couldn't put the codes we downloaded here. crazy blogger. I'm crazy too, on the screen. You are dealing with template-skin-templates that much, but we do not think of users with little knowledge. The guys who know are already doing it themselves. I got nervous I couldn't do something since the evening

Ugh...
.",113.txt
17,".. I've been getting so bored lately. Emre quit work and we are constantly traveling and having fun. But what a wisdom, my troubles do not go away: S Actually, there is no problem, but I am getting narrowed: S I don't know if it's a problem either but I don't taste anything anymore? everything is boring life is boring people is boring. This week I will go to Istanbul. I hope I open up a little bit and get back on my own ??",114.txt
18,"I get nervous when I'm alone when I have to wear clothes.

I'm going to the store, if there is no salesperson interested in me, I'm in bad shape. I'm not the man who would jingle ""take care of me"". Anyway, I buy my clothes, I enter the trial rooms. but if I'm alone I can't get out. I look at myself in the tiny room, to see if it looks good. Even if I like it myself, I need the approval of at least one person in such cases. I looked at myself in the mirror today. Then I said ""take the eah, let it go"". I bought a pair of jeans. I know other people's thoughts to wear it, and I will wear it tomorrow, let's see what people will say.

note: I wrote ""fitting room"" on flickr to find this picture, and there were dozens of girls who went into the trial rooms and took pictures of themselves in giant mirrors. half of them are on facebook.

angry",115.txt
19,"now the ""painter of dreams"" is murat yılmazyıldırım, I don't know if he gets angry or even read this place, but I get angry at the voice of this man.

When they say adolescence-high school-depression trips, the young people start to listen to this man. They don't even realize how bad your voice is. Either we used this sound to joke around in elementary school or something. We used to swear in our voices and then laugh. You may be writing words with a depth that I cannot understand, I don't care. no, actually it is not the voice of this man that I am angry with. people are so insensitive to this sound.

I wrote here, even with my most expressive state, I would say ""the sad bird has come"".

angry: angry man.",116.txt
20,"today I think I attended an action for the first time in my life.

Last Friday, an exorbitant monthly fee was charged for the next year in the dormitory where I stayed at school. Let me say that there is a 57.3% increase so that I can make sense of it both numerically and give it fractional amount so that nobody will hit it. today, about 200 people walked around the dormitories to the rectorate. I had a banner, how difficult it was to carry it. My arms broke off after a while.

The point I'm really nervous is this. The action that took place today was unrelated to any political view. however, there were not even a tenth of the students staying in the dormitories affected by the increase today. Men who had nothing to do with raise came just to support us, they were not there. We went in front of their dormitories and shouted for them to come with us. However, people preferred to watch and laugh at us from the window and take pictures with their cell phones. It is this insensitivity that annoys me today. even though they are affected by themselves and not others. I'm sorry. so much.

angry: angry man time ::",117.txt
21,"it's not the forward emails that I'm nervous about. it shouldn't even say forward, what should it say? should it be said that it was delivered, what is it for us? anyway, ""everything is Turkish!"" I'm not going to get the juice out of your work like the types. I even forgot the topic to write.

I am not nervous about forward e-mails but I am annoyed that forward e-mails are sent without editing. When you forward what comes to you now, dozens of e-mail addresses, including yours, are included in the mail. Do not be lazy, just wipe them. There are 2 lines of text, 50 lines of e-mail addresses. Okay, usually stupid things come, it is not even worth reading, but I want to see what has been sent. but we cannot find it in a kind of confusion.

You know, it might sound very absurd, but can I say it is an example of how technology makes us lazy? what I say to you, of course.

Why don't you put a picture on the subject? I am sensitive.

angry: angry man.",118.txt
22,"I found a picture about what to write. I saved it as a draft. I was tired, I sat all night idly at the computer.

If you ask what are you getting angry about then I would say to this meaningless void. I do not want to do anything, I am sleepy, I do not want to go to bed. my mind is empty, I don't want to think. I'm empty. As if I had a very troubled day, something that grows in the middle of two lungs says, ""You did very bad things today. I feel like I came out of a terrible argument. but no, it never happened.

I actually know why. After making some decisions, things that do not come to my mind are disturbing like this later in the form of regret, but I do not even think about them at the moment. I have an unnecessary regret. I could not even explain my problem. I'm nervous.

angry: angryman time: 00:00
1 comment:
the wind in the ocean said ...
I live so much in a day that this insignificant emptiness that crosses the nerves .. so I drink water, I am nervous. the spoon falls off, I become nervous. someone talks, i get nervous, i shut up, i get nervous again. Sometimes I wasted gasoline from my head and I got behind me saying '' it's enough '' ...

Ugh. This place is good ya hu. Let me stress once in a while ...",119.txt
